2017 NAICS Code	Establishment age code	Year	Number of firms	Number of establishments	Number of employees	Number of establishments born during the last 12 months	Number of establishments exited during the last 12 months	id	Rowguid
31-33	30	1978	0	0	0	0	0	0100000US	BA0B8D5B-92A9-34E2-84B6-ED3E15944E71
31-33	40	1978	0	0	0	0	0	0100000US	4E05D71C-64DE-9A7B-6F0E-217FBA4156C2
311211	50	1978	0	0	0	0	0	0100000US	7DB2B907-9487-5DF8-29CA-90D2993F0115
31-33	60	1978	0	0	0	0	0	0100000US	1462E2C3-A6A8-1AB8-1682-F4DA72795BA2
31-33	70	1978	0	0	0	0	0	0100000US	796AAA50-49DF-9244-27CA-CFFCA2398031
321920	80	1978	0	0	0	0	0	0100000US	8C25D05F-7AF6-13CE-782F-BDD1F5849EE8
31-33	90	1978	0	0	0	0	0	0100000US	D432F1E4-990C-1DB0-49F6-8BC612C06536
324121	100	1978	0	0	0	0	0	0100000US	124FFFC8-355F-7AB4-1854-207CAE6F72A2
31-33	110	1978	0	0	0	0	0	0100000US	14B214CF-5D4A-6AF7-697D-3A251DDF13BB
311520	40	1979	0	0	0	0	0	0100000US	A78DE94A-8AE7-2C3F-1138-694ADE94643C
31-33	50	1979	0	0	0	0	0	0100000US	C6AC1D4A-1BA2-9860-5729-689C491944AE
315220	60	1979	0	0	0	0	0	0100000US	66D5D250-35E5-210E-482C-C2781D0988C5
31-33	70	1979	0	0	0	0	0	0100000US	E6F21C04-1C9F-71CC-6522-34377E47A654
31-33	80	1979	0	0	0	0	0	0100000US	C0D9F142-51C9-9401-A2A6-E3F9CAA52B06
315240	90	1979	0	0	0	0	0	0100000US	6B52C467-19DA-35F7-8F09-E2B6B9BD5421
316998	100	1979	0	0	0	0	0	0100000US	53D37A53-09A6-A467-20AB-D1ECA1DC7D30
327320	110	1979	0	0	0	0	0	0100000US	F821D2E5-4D2C-519A-56E4-2A6275253E7B
327320	50	1980	0	0	0	0	0	0100000US	BB225F89-6421-4C34-9DEA-3A21F00D2EEE
31-33	60	1980	0	0	0	0	0	0100000US	D95546E5-A679-68A6-1649-6245F0008FBC
31-33	70	1980	0	0	0	0	0	0100000US	9A2F571B-74E8-87C4-83FB-7F65543911D9
326291	80	1980	0	0	0	0	0	0100000US	0616A4E8-40B2-7AA0-8FF9-E0CC901D9668
31-33	90	1980	0	0	0	0	0	0100000US	736637CE-7E29-0849-3ED3-00FC30C74CDD
331420	100	1980	0	0	0	0	0	0100000US	5F07E3D1-72B3-6BCF-21BC-21AE9B7C431B
31-33	110	1980	0	0	0	0	0	0100000US	DE299BAD-320A-6ABD-5F01-3832663B7512
31-33	60	1981	0	0	0	0	0	0100000US	E6A710F3-A49A-479A-5F29-0BC6115907CC
311211	70	1981	0	0	0	0	0	0100000US	C1AE1417-5E4B-4BEE-62FC-B2D8C7DE1610
31-33	80	1981	0	0	0	0	0	0100000US	C54304B3-1A67-3911-63AE-F8EBA320A3E0
31-33	90	1981	0	0	0	0	0	0100000US	A96F798C-7F81-5963-299D-96347DC499D4
321920	100	1981	0	0	0	0	0	0100000US	50732265-784F-6A17-55C3-4433A61451DD
31-33	110	1981	0	0	0	0	0	0100000US	8178D332-68BB-0BFA-7971-065BA8DF136F
324121	70	1982	0	0	0	0	0	0100000US	3EF15DE9-43C8-8C7F-3B68-A43BAE3B480E
31-33	80	1982	0	0	0	0	0	0100000US	2A0B4431-5200-3A96-5D8F-8F3B65EB621B
311520	90	1982	0	0	0	0	0	0100000US	7B112AA9-37BF-27AA-39C5-C483DEF20F9E
31-33	100	1982	0	0	0	0	0	0100000US	7590C213-102A-7BB9-1158-A1928784782B
315220	110	1982	0	0	0	0	0	0100000US	920C162A-0EF6-6269-895A-F563B19C28D3
31-33	80	1983	0	0	0	0	0	0100000US	90C79672-2E30-3DC8-520C-19193A189D65
31-33	90	1983	0	0	0	0	0	0100000US	035C7897-6231-5FA0-7717-C84EF2F5428B
315240	100	1983	0	0	0	0	0	0100000US	B2852820-6742-7486-1811-91007B1A69B0
316998	110	1983	0	0	0	0	0	0100000US	FFEDED93-7313-68A5-8E19-819813C84E49
327320	80	1984	0	0	0	0	0	0100000US	D6B1A861-4046-586E-5B9E-A8429E160074
327320	90	1984	0	0	0	0	0	0100000US	7C966B70-1989-0550-95E6-6174F9323CEB
31-33	100	1984	0	0	0	0	0	0100000US	597393AF-90D9-70D1-3D0A-69CD908A7CDF
31-33	110	1984	0	0	0	0	0	0100000US	BCC50F8D-4FC8-14F6-6E81-8F63EE7E4182
326291	80	1985	0	0	0	0	0	0100000US	B514AFAC-48CE-737D-86B7-72C4DB40A4CC
31-33	90	1985	0	0	0	0	0	0100000US	0403ECF0-635C-42F0-2161-54A1837D7480
331420	100	1985	0	0	0	0	0	0100000US	A9A08D68-A79C-275D-54E8-F964D4A626AE
31-33	110	1985	0	0	0	0	0	0100000US	63F993FC-52DE-79D4-241C-ABC7759A4489
31-33	80	1986	0	0	0	0	0	0100000US	D3A7F61B-3BB7-7D4A-394C-B631A25AA584
311211	90	1986	0	0	0	0	0	0100000US	F0A97C81-35D1-14D0-655D-6710EB348D15
31-33	100	1986	0	0	0	0	0	0100000US	10DAFAC9-3F92-A283-A750-829C3E3F6F84
31-33	110	1986	0	0	0	0	0	0100000US	3EA158FE-7DDC-0FE2-0F09-8D64EBC99556
321920	80	1987	0	0	0	0	0	0100000US	1C7FD889-5283-3311-8AB0-E56B340A4FD5
31-33	90	1987	0	0	0	0	0	0100000US	FDB9C677-4FC4-6C65-166F-E3A2E58B24E9
324121	100	1987	0	0	0	0	0	0100000US	63DC561E-02AB-86AE-08E3-02584B36925D
31-33	110	1987	0	0	0	0	0	0100000US	21C459E7-4896-3D73-2BF5-2F802D642F51
311520	90	1988	0	0	0	0	0	0100000US	5C41CB35-0F5B-49A1-7191-93A61CEC37DB
31-33	100	1988	0	0	0	0	0	0100000US	F029E1F7-4F65-2935-2F32-05CC16F141C2
315220	110	1988	0	0	0	0	0	0100000US	F109E1D6-A4CE-67C5-4CAA-8F8C8B3931E0
31-33	90	1989	0	0	0	0	0	0100000US	AF12F646-8ED8-1A5E-50DC-202C1C381091
31-33	100	1989	0	0	0	0	0	0100000US	D7A6C5C3-7B9D-756B-7F37-179F57537778
315240	110	1989	0	0	0	0	0	0100000US	2B4D249A-4468-10AF-76C4-EFB4A53F982C
316998	90	1990	0	0	0	0	0	0100000US	8CD0C7C6-0E88-217C-042A-89F631F229F7
327320	100	1990	0	0	0	0	0	0100000US	5BD9C862-0292-9DE6-2402-D5F4EE9B37F6
327320	110	1990	0	0	0	0	0	0100000US	9FB62CE8-8F79-7E5E-01D3-B4B7A8851E40
31-33	90	1991	0	0	0	0	0	0100000US	5ADC21F7-96B0-4957-2C22-A965000F83BB
31-33	100	1991	0	0	0	0	0	0100000US	A4FD74D4-2014-3EAD-0367-937EC5D92AF4
326291	110	1991	0	0	0	0	0	0100000US	EEE78BF6-5765-3104-6B4C-6C9B68894963
31-33	90	1992	0	0	0	0	0	0100000US	3A839FF6-9C67-86E3-7031-B438FAC63D34
331420	100	1992	0	0	0	0	0	0100000US	E8D9CB8D-69A4-2C9A-7D9C-C313D79F4369
31-33	110	1992	0	0	0	0	0	0100000US	CBA023B1-5C12-2754-611F-87E4C028A19B
31-33	100	1993	0	0	0	0	0	0100000US	F387CE4B-2074-86FC-7544-835FD3E84F99
311211	110	1993	0	0	0	0	0	0100000US	66FE98E6-5304-1D9D-9C00-F32CA4159568
31-33	100	1994	0	0	0	0	0	0100000US	1121E83E-41E1-98F3-2C7D-30F3AB712A4C
31-33	110	1994	0	0	0	0	0	0100000US	A41BEDF7-102B-5DB4-23F3-71A4AB140EB1
321920	100	1995	0	0	0	0	0	0100000US	18096D9F-8582-2691-1E56-3269E76E8772
31-33	110	1995	0	0	0	0	0	0100000US	DA914772-03C7-11BE-57A4-20485C8729D7
324121	100	1996	0	0	0	0	0	0100000US	3C751E63-3394-1221-01C3-A98AFA7432AD
31-33	110	1996	0	0	0	0	0	0100000US	4080EB2F-3139-7EAB-263F-8F7AEE431398
311520	100	1997	0	0	0	0	0	0100000US	B6ECE3BF-881B-5E1C-4AA1-6E3F0559644B
31-33	110	1997	0	0	0	0	0	0100000US	BAEC2AE5-0587-0164-4219-4E0692D169ED
315220	110	1998	0	0	0	0	0	0100000US	023B1115-16BA-5C89-8D52-87625ABD3A11
31-33	110	1999	0	0	0	0	0	0100000US	69D4411F-3640-809F-6789-E0EC45A87F2D
31-33	110	2000	0	0	0	0	0	0100000US	2D52CFDE-5B2F-9E1F-0A00-7C9F58AD4D16
315240	110	2001	0	0	0	0	0	0100000US	491DCBC5-152B-9678-01E1-EB621AD07682
316998	110	2002	0	0	0	0	0	0100000US	A0AF620E-5841-27D7-9099-87D7A43C596E
327320	1	1978	262447	309140	18118738	34851	28289	0100000US	B5A234EB-127E-8A95-2BEF-730481AF0AF5
327320	10	1978	29792	31122	529706	31122	0	0100000US	2CB4D43E-57C6-40D2-5343-0E7C76EE9D91
31-33	20	1978	24221	26244	707947	0	7227	0100000US	9DE3EF10-6476-6071-1E6E-FA452B461133
31-33	150	1978	212577	251774	16881085	3729	21062	0100000US	6FF2EB83-791C-1E59-8917-52B8557A39B5
326291	1	1979	255685	302989	18901965	31115	33510	0100000US	70B14130-13D7-756A-7BDD-9DF0F5093FA3
31-33	10	1979	25378	26762	514434	26762	0	0100000US	8606BB0A-2741-3DA5-38BF-D62C403D5B6E
331420	20	1979	21941	23082	560436	0	7932	0100000US	52FE8F8C-0CB6-2D0A-85C8-A95A02121B72
31-33	30	1979	20309	22112	723763	744	4640	0100000US	B99EB22B-5CA8-19F1-451B-DFC68C7E8580
31-33	150	1979	193856	231033	17103332	3609	20938	0100000US	59820BB1-0122-3F49-73EA-BEEF1F7584B9
311211	1	1980	255012	303608	18745186	31566	30687	0100000US	812CAD40-6724-89A2-237F-2A0002CF126D
31-33	10	1980	25937	27369	568271	27369	0	0100000US	3E3AA905-6456-8D66-1AAC-A762E04A8CEA
31-33	20	1980	19240	20430	502320	0	6386	0100000US	8E4EE946-2C70-5D77-0C36-D720FD934CD6
321920	30	1980	18523	19539	529783	687	4280	0100000US	89688142-34A6-A4CD-9CD9-BE48F7F20759
31-33	40	1980	17856	19489	689495	604	3235	0100000US	ECC46341-3CDA-255F-84F7-C35FB3DD4DFF
324121	150	1980	180733	216781	16455317	2906	16786	0100000US	845DA045-9E24-6358-7B9B-61612740427F
31-33	1	1981	270724	319525	18217604	40425	25442	0100000US	78117940-1EDC-3D33-0FC3-ADC832364FB6
311520	10	1981	29603	31078	626500	31078	0	0100000US	6433DF59-5420-5BC8-48E0-1E4FCAB245E3
31-33	20	1981	20860	22110	571237	0	5267	0100000US	D2ACF559-33D1-7EC1-0224-E1D9E5DE8B4D
315220	30	1981	17626	18656	477791	1064	3090	0100000US	7FE46824-4DDD-72D6-8312-A9BEF409841B
31-33	40	1981	18227	19113	507369	1863	2467	0100000US	70E02FE8-6B0C-3AF8-9B42-1555A0629399
31-33	50	1981	17036	18459	652877	977	2157	0100000US	33EECEE1-3ACE-0965-9C9D-0936702A592E
315240	150	1981	176113	210109	15381830	5443	12461	0100000US	1CDB7CCA-608E-9B8A-1C1B-EDF73C68951F
316998	1	1982	271895	320897	17478675	30855	30404	0100000US	E7A6F138-8361-2032-9897-1D52962423E2
327320	10	1982	24924	26177	572388	26177	0	0100000US	C42B3BAB-8510-1FE8-9CE7-511E05305F72
327320	20	1982	23709	25014	629553	0	6153	0100000US	94B581AB-9D4B-73DE-67F0-AA38051C2E4C
31-33	30	1982	18341	19459	537226	837	3493	0100000US	B3DE5989-1816-07CE-A28D-1F7507093B04
31-33	40	1982	15723	16614	448381	618	2628	0100000US	B109EE5B-7C9B-1B3B-06DC-EA1CAE8337D6
326291	50	1982	16488	17281	470465	509	2330	0100000US	C415A96A-0C97-821B-7F32-622F2934457F
31-33	60	1982	15741	17040	612218	493	2196	0100000US	0FE5A7F8-45F5-00C4-89ED-E53832B55452
331420	150	1982	167235	199312	14208444	2221	13604	0100000US	6B22DDDA-6224-9E61-A581-1D3C1C5B1378
31-33	1	1983	272876	320871	16278683	30365	30275	0100000US	6A53C146-2DB5-76B8-518E-49DEECFB3204
31-33	10	1983	25293	26451	478813	26451	0	0100000US	354DFF65-70E4-9D71-0919-EB36D4EB8EB6
311211	20	1983	19702	20787	527433	0	5366	0100000US	CB1299D7-739D-588E-949C-EA414BE393C6
31-33	30	1983	20540	21708	578408	565	3862	0100000US	4EB86F39-547E-85D7-6E54-B376665D31CF
31-33	40	1983	16117	17098	489945	451	2785	0100000US	31A89E2F-8589-A6F0-8E86-9B330A4CA585
321920	50	1983	14163	14933	401813	384	2069	0100000US	46A63553-441B-4953-6BD8-726BFC1D4098
31-33	60	1983	15034	15743	441141	377	1916	0100000US	2FD47994-00DA-13A5-8605-D9E3C63356DA
324121	70	1983	14477	15624	536079	358	1772	0100000US	863EA03C-6E58-A4AE-0ECC-DAB73F005757
31-33	150	1983	158757	188527	12825051	1779	12505	0100000US	830F4D1E-68D3-9E28-A6C5-D782933859D9
311520	1	1984	274067	321880	17380723	30331	28916	0100000US	CE17CBFB-186B-3182-1F80-B04FF9F63866
31-33	10	1984	24885	26315	555621	26315	0	0100000US	D70B50D7-4B74-9748-61E1-A2392DE94AC0
315220	20	1984	19924	20897	492000	0	5326	0100000US	E1827EF2-10A1-4B70-5380-9DD55C070404
31-33	30	1984	17013	17973	551127	526	3352	0100000US	AA75302C-7198-0220-8B87-18C47310545D
31-33	40	1984	18424	19461	620551	453	2683	0100000US	A7C589DB-7C51-377B-7B45-4FB2F0BF8B8B
315240	50	1984	14653	15505	513220	402	1996	0100000US	79CB48A4-3FED-78A2-0602-F2EC83AE890E
316998	60	1984	12987	13693	424068	319	1534	0100000US	A6C5260C-3B82-984A-3250-D8175B579BCD
327320	70	1984	26971	29032	1023191	678	2960	0100000US	41C09A74-0455-5584-9BBB-42C658356D57
327320	150	1984	151010	179004	13200945	1638	11065	0100000US	9D5277F3-98A7-5F7B-3521-651C25E504FB
31-33	1	1985	282402	329831	17440468	39765	31389	0100000US	CF0F80CC-1C67-5EF6-60B3-A6B2E7424F3A
31-33	10	1985	33652	35369	735652	35369	0	0100000US	6586CA27-649A-7B7E-5BC9-AFC95A967A5E
326291	20	1985	19808	21045	537693	0	5326	0100000US	9E595AF2-639D-A68E-8BDA-FE22174E1154
31-33	30	1985	17134	17993	470036	559	3475	0100000US	9EEC3201-2D92-93EB-196B-BD676E5E5971
331420	40	1985	15129	15989	530536	474	2457	0100000US	54DF2F73-46D9-26C4-68FD-E54F34C68F56
31-33	50	1985	16822	17765	606329	481	2157	0100000US	4DB26BA0-807A-4426-A2F7-E2B95A0877DF
31-33	60	1985	13431	14187	500595	375	1702	0100000US	0319FE1D-5E63-7CD3-3D65-CBA6D4D95259
311211	70	1985	36531	39485	1394853	995	4183	0100000US	720B00DC-A3F9-9B8E-7129-B13514D4504E
31-33	150	1985	141985	167998	12664774	1512	12089	0100000US	25223B9C-1549-5F4B-1A8F-40EB50FD5D72
31-33	1	1986	281621	328891	16991715	34124	33439	0100000US	CEB33FE9-42EE-1CB2-8EE7-E4797ABA7DB0
321920	10	1986	28849	30422	678226	30422	0	0100000US	B8B9DE98-374C-10AB-7584-176038E12939
31-33	20	1986	25699	27183	703752	0	7982	0100000US	FF17DA26-A473-823F-88D7-4AB86C3D9827
324121	30	1986	17175	18289	524129	525	3329	0100000US	9E146F58-8835-99E2-5505-EA993FCC8700
31-33	40	1986	15082	15839	439562	409	2472	0100000US	D72E3196-80FA-02EF-3464-0D778C3F3D1A
311520	50	1986	13488	14255	481567	315	1939	0100000US	0A9E46C1-8008-558D-76E1-CF86B9C73C21
31-33	60	1986	15260	16080	564360	319	1924	0100000US	721320C3-23DF-6A94-4F19-AA4C840E8EA2
315220	70	1986	45265	49274	1788539	913	5101	0100000US	5D0F3AF4-0A8D-469C-8945-6C475FCD8CED
31-33	150	1986	133279	157549	11811580	1221	10692	0100000US	68A5C588-4172-580C-332C-392955431A01
31-33	1	1987	282101	328603	16628758	34938	34439	0100000US	71771A67-9366-0B16-030A-0BCB0513A583
315240	10	1987	29101	30401	572324	30401	0	0100000US	CB78772F-97F6-5E31-0330-C8DC03D75C02
316998	20	1987	22842	24133	658590	0	6462	0100000US	5B2F6AE1-1497-5EC3-73CD-580C9C886DCC
327320	30	1987	22368	23649	649587	831	4389	0100000US	D4AB20EE-00D9-332C-A47E-76815B5569DD
327320	40	1987	15265	16261	498994	518	2497	0100000US	4D3230D5-952E-0905-9D08-748DC65D9CF5
31-33	50	1987	13427	14098	415158	342	2044	0100000US	03D51153-884B-734E-A62C-F06A55A5A609
31-33	60	1987	12262	12936	463021	314	1643	0100000US	9AC86DD2-1B5E-4B84-5209-7480535A23D2
326291	70	1987	55249	60307	2256877	1233	6332	0100000US	185B1E29-4B8B-204C-46E0-43F6BC806951
31-33	150	1987	124594	146818	11114207	1299	11072	0100000US	68ACC582-52EE-3744-0E4F-0D3AAA5505B0
331420	1	1988	288204	335732	17128298	36593	31286	0100000US	AD66F402-03E2-133A-352D-C1BDD9B499BC
31-33	10	1988	29731	31893	738248	31893	0	0100000US	6B11FA99-6EE9-03C5-3F03-E43735DA3B68
31-33	20	1988	22963	24090	571285	0	6364	0100000US	9D066CD6-9C13-3463-A54C-87D753C717B1
311211	30	1988	20856	22073	716206	781	3872	0100000US	D5948784-699E-3569-2010-2664368D7763
31-33	40	1988	19943	21128	651923	595	3153	0100000US	164D9567-3E9D-0264-3C29-C54DA2A12A8A
31-33	50	1988	13799	14707	487561	350	1946	0100000US	24BEE625-5465-A6CB-287E-D16CECC82BF8
321920	60	1988	12424	13042	416890	329	1486	0100000US	B0679E67-1822-6B27-80C2-A94DE4A35AB3
31-33	70	1988	53211	57757	2228293	1190	5287	0100000US	E23B81B2-44F0-2437-402D-2055EB98A3E9
324121	80	1988	10257	10932	468624	184	837	0100000US	38985808-7FF8-2746-2676-A7F9A56E3A88
31-33	150	1988	119221	140110	10849268	1271	8341	0100000US	ADF1B936-7934-4B2E-48CA-0451C857313B
311520	1	1989	291626	339124	17352837	35276	31821	0100000US	637E7288-3AAB-6461-4719-5EB804F8784C
31-33	10	1989	29580	31000	609630	31000	0	0100000US	33B0E862-5AE0-3883-6FB3-63572F292B16
315220	20	1989	24002	25828	743283	0	6118	0100000US	F1EC0EDE-057B-8DE6-6BEB-50D9E69A1D5A
31-33	30	1989	19946	20974	573757	552	3719	0100000US	04E1BD9B-19A7-0176-2E15-4CA3640242AE
31-33	40	1989	18664	19753	709108	529	2867	0100000US	461152D1-6611-6A19-9C07-3CF77ED21E87
315240	50	1989	18094	19181	631562	466	2411	0100000US	7550F63A-97E5-9545-094F-D0E4CF76454E
316998	60	1989	12543	13359	480972	291	1667	0100000US	9F885827-9F99-67D2-3753-B393F8E40C79
327320	70	1989	51385	55696	2212877	1009	5282	0100000US	8471ABEF-2938-A1EF-94C7-E37F7AF71BF4
327320	80	1989	19273	20538	862465	361	1580	0100000US	D279DDE5-778B-9D17-6C06-B1B5230B4BD3
31-33	150	1989	113055	132795	10529183	1068	8177	0100000US	BCB9692D-82C5-2029-1DB0-98633FBE7D8B
31-33	1	1990	293873	341704	17081635	33808	30900	0100000US	E87DBDD3-9F4C-45F0-7CFF-EDE999DC4BAB
326291	10	1990	28180	29426	500173	29426	0	0100000US	70D7EBBF-257C-573D-65D1-C4AA37BC3A21
31-33	20	1990	23748	25001	601457	0	5943	0100000US	9DA07B78-42CC-3246-7B88-500615A544EC
331420	30	1990	20877	22546	703756	617	3935	0100000US	80893525-3F4E-67EF-55A2-9970560C2889
31-33	40	1990	17806	18770	557428	529	2729	0100000US	43C36638-34E0-7349-5CFD-11E0AF286616
31-33	50	1990	16966	17964	676586	423	2200	0100000US	3EEB6DF8-0A00-2807-6AD2-7A2BCF540C71
311211	60	1990	16484	17493	613137	373	2053	0100000US	9DA8C737-A195-7224-92BF-E664850B188B
31-33	70	1990	51371	55802	2209750	1088	4951	0100000US	8CEAA4F2-6FB5-1B66-5360-B16C48F114F9
31-33	80	1990	26222	28176	1178011	394	2100	0100000US	84301698-4613-12F0-1077-3DFB285B70D8
321920	150	1990	107688	126526	10041337	958	6989	0100000US	C27821D6-5436-800B-682E-24A17B50032F
31-33	1	1991	294523	341921	16099387	29948	33860	0100000US	19A08CF7-2136-557E-9E8A-9811E89F786C
324121	10	1991	24830	25891	422275	25891	0	0100000US	E9A710AD-4BB9-9570-929B-39C6055A06AD
31-33	20	1991	21308	22377	481313	0	5966	0100000US	926BB353-910A-99FD-3788-6BA11E54431B
311520	30	1991	19743	20872	544395	535	3932	0100000US	D2557913-6B68-777E-48FA-5EF25D9D8D1D
31-33	40	1991	18223	19689	635846	462	3125	0100000US	147B7B7F-8566-85C9-8AAD-35BBCBC74EA2
315220	50	1991	16313	17190	506043	416	2343	0100000US	2DCBB96D-541F-1EA4-4176-0410347167BB
31-33	60	1991	15893	16810	621237	338	1954	0100000US	C2F475D2-9D1F-59F9-770A-DBD6C1137A4C
31-33	70	1991	55990	60680	2228746	1078	5811	0100000US	3E536254-1F26-6055-A6EF-BF8EDBAC0327
315240	80	1991	34097	36776	1457927	486	2900	0100000US	1B72B74A-5327-5910-1737-52C6C72B5AF4
316998	150	1991	103876	121636	9201605	742	7829	0100000US	7D451616-75F7-7EA6-4EE1-12DAD8A0123F
327320	1	1992	286929	333232	15893415	27866	32790	0100000US	E8F31292-9A7A-305B-616E-117B67AE7C60
327320	10	1992	23043	23780	409965	23780	0	0100000US	EC61B8E3-4534-1D66-4C4A-156D81D22333
31-33	20	1992	19390	20304	418710	0	5526	0100000US	5DA616A7-3149-56B5-8A83-3B016B39A236
31-33	30	1992	18216	19161	460554	567	3734	0100000US	C1534AD0-98AE-94FE-88E8-9AAEA8494299
326291	40	1992	17454	18419	515877	488	2900	0100000US	73176B01-32EA-955D-94A6-1C6A9B331039
31-33	50	1992	16265	17551	610261	387	2498	0100000US	F2B6A7E2-3BE0-A163-688B-9B18AE507304
331420	60	1992	14655	15451	491748	335	1929	0100000US	FCEDFD90-3FE0-361B-3BA1-6282A8B4056E
31-33	70	1992	55464	60228	2309444	1039	5945	0100000US	FE128212-9C5E-809E-A472-202B0B4B3682
31-33	80	1992	41379	44826	1859660	560	3541	0100000US	B043FD82-05C4-8A52-8436-2356A7637DEF
311211	150	1992	96800	113512	8817196	710	6717	0100000US	FCE331BE-4538-0D31-024A-5A8F9A2A2E37
31-33	1	1993	289102	334916	15903383	30036	28765	0100000US	E8F6D7D1-1CC7-0C18-0656-EA42CB2E6CA9
31-33	10	1993	24750	25631	434536	25631	0	0100000US	A01D3172-49DE-5F6C-9B80-B0BE47EC540A
321920	20	1993	18436	19135	434846	0	4762	0100000US	07CA25D4-50EC-5321-378C-E73B5A28267E
31-33	30	1993	16888	17725	405799	467	3102	0100000US	E402703C-64D9-3EB9-6955-3C18BD9E77A0
324121	40	1993	16356	17209	451866	493	2484	0100000US	9B36836C-82BE-45A1-1537-1ECD2CF114A7
31-33	50	1993	15988	16864	505325	432	2060	0100000US	C5CB557D-0745-5040-A5A1-10EAA0E44AF7
311520	60	1993	14999	16173	592704	370	1832	0100000US	D58962CF-7B09-A3F5-2548-F9D3C1351B3A
31-33	70	1993	57190	62203	2338570	1178	5430	0100000US	BF481761-23F1-227D-9601-135164042622
315220	80	1993	39938	43064	1831404	612	2955	0100000US	D20B4534-60AA-9082-53E9-6FFECA5879CF
31-33	90	1993	7869	8359	390385	108	553	0100000US	889C61FE-52A2-A600-1572-BB1D506B890C
31-33	150	1993	92735	108553	8517948	745	5587	0100000US	707078E3-086A-A3CB-917B-28F38B731011
315240	1	1994	291221	337397	16076631	30364	28620	0100000US	AA4838CE-4239-00FF-545E-AB70D4BC406A
316998	10	1994	25248	26237	451633	26237	0	0100000US	E86C6978-6457-8E48-5DEE-266124EB115D
327320	20	1994	19706	20496	439819	0	5141	0100000US	EED96DBC-9E2B-2557-174E-3C725BC46FFA
327320	30	1994	16456	17077	479033	434	2986	0100000US	0EEEEAC6-9570-3F45-8267-4A3C18873AA0
31-33	40	1994	15106	15861	378681	398	2224	0100000US	82194A05-1856-A5B8-95F5-F53ADD05025D
31-33	50	1994	14823	15594	436221	390	1984	0100000US	F67F4471-03D4-113A-5295-1E04036F4E8C
326291	60	1994	14701	15505	492428	348	1684	0100000US	D54C4652-8412-73C4-A3A9-992D73C11EB9
31-33	70	1994	59107	64777	2543842	1155	5543	0100000US	A8A95118-35CA-5DB6-4FC9-3A664200473D
331420	80	1994	38668	41789	1837717	503	2857	0100000US	64E200B5-9F4A-A453-1425-03243F963E6D
31-33	90	1994	14852	15734	711790	192	1028	0100000US	0006F1E6-9EB0-5045-068D-1C36962756E2
31-33	150	1994	89124	104327	8305467	707	5173	0100000US	5B8C3B28-8C9D-6059-758F-F033B37C46D7
311211	1	1995	293001	339281	16497873	30375	27315	0100000US	B028FC85-9DC4-677E-8D8F-8E5AC9B52BE8
31-33	10	1995	25264	26296	439877	26296	0	0100000US	909B7514-1CDC-0757-8863-B1121B25188A
31-33	20	1995	20286	21156	472525	0	4873	0100000US	5D5EA355-0F30-9B3A-1C58-21AEDD333D30
321920	30	1995	17014	17753	435729	500	3149	0100000US	D646CEDD-75A7-4B1A-2BD9-A5460C6C2CB8
31-33	40	1995	14761	15307	485160	402	2140	0100000US	DE52C451-051D-76F8-493D-B0DF3C4F06F2
324121	50	1995	13703	14372	386968	316	1748	0100000US	1C06DF95-0249-7EEC-8991-F393D2383AB0
31-33	60	1995	13674	14374	445652	329	1523	0100000US	F1CE5FD7-22EA-1FD1-7548-31B61DBC4265
311520	70	1995	60391	66242	2659242	1164	5403	0100000US	607A93E9-A2D9-6C76-4AD5-4EB1DD3B3C47
31-33	80	1995	38804	42017	1931353	541	2586	0100000US	8A0A9040-0823-5327-29DA-6CDED2C05820
315220	90	1995	20420	21803	1029411	241	1240	0100000US	2F9CAAA2-8551-0A51-85D7-50C08D4880B0
31-33	150	1995	85435	99961	8211956	586	4653	0100000US	0789F12F-5A2F-9841-3463-00F5A65B519A
31-33	1	1996	292240	338408	16134500	28635	28370	0100000US	E3D5DA9E-7C6E-313F-02EC-16DF958C0CC9
315240	10	1996	23934	24848	382059	24848	0	0100000US	1E3EC1C9-9BA6-16B2-9930-9061FA50035A
316998	20	1996	20104	20942	447957	0	5186	0100000US	C7660112-1835-210A-6CC5-5112335A3DD4
327320	30	1996	17607	18350	455660	399	3269	0100000US	58122622-6DE1-757C-5CF4-445027299E37
327320	40	1996	15119	15749	414590	394	2427	0100000US	CB6351F6-8354-44AB-90B3-E2C5981F57F4
31-33	50	1996	13422	13914	446235	298	1724	0100000US	A12E13F9-7F7A-028A-4847-61BB108C2384
31-33	60	1996	12646	13263	372998	286	1471	0100000US	787E7998-8C40-83DE-68D9-EDA2F02A8B7E
326291	70	1996	58027	63742	2488881	1118	5336	0100000US	51900B7A-44B6-26E4-6F24-51BDF4E0008E
31-33	80	1996	41111	44558	2004047	510	2901	0100000US	EA9EEA52-8166-A0F5-2534-58CED350A053
331420	90	1996	25943	27894	1354117	267	1551	0100000US	A1AD6950-0C89-51A6-6E89-7BDADB251A26
31-33	150	1996	81211	95148	7767956	515	4505	0100000US	45A1ECAC-3B9E-2663-A0EA-B80E5E6135A0
31-33	1	1997	292545	337948	16361886	28275	29288	0100000US	0F14999D-6D16-900C-5BC8-7FE35EEC83EF
311211	10	1997	23580	24471	431707	24471	0	0100000US	52A97C94-5EB0-5953-3EB6-E8C6A3A818AA
31-33	20	1997	19123	19886	398836	0	4959	0100000US	937CB487-10CC-512E-289E-E7D642C87567
